Username,Repo_name,Stars,Repo_URL
sindresorhus,awesome,282000,https://github.com/sindresorhus/awesome
vinta,awesome-python,192000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,162000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,117000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,114000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,80100,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,78800,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,72600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,66000,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,60600,https://github.com/DopplerHQ/awesome-interview-questions
enaqx,awesome-react,59800,https://github.com/enaqx/awesome-react
MunGell,awesome-for-beginners,59800,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,54100,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,52300,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,51400,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,50100,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,49600,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48100,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44700,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,43700,https://github.com/tiimgreen/github-cheat-sheet
